Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,Sex,URL Link ,Crossing
A451630,OWNER SUR,01/28/2024,OSCAR,OTHER,6 YEARS,SMALL,BROWN,TURTLE,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A451630&location=MONT,
A507522,OWNER SUR,02/05/2024,*RITA,DOG,2 YEARS,MED,BRINDLE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A507522&location=MONT,
A444157,OWNER SUR,01/28/2024,YERTLE,OTHER,7 YEARS,SMALL,GREEN,TURTLE,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A444157&location=MONT,
A513554,EUTH REQ,12/08/2023,NOVA,DOG,2 YEARS,MED,TAN / WHITE,AM PIT BULL TER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A513554&location=MONT,
A516426,FOSTER,03/24/2024,QUEEN,DOG,5 YEARS,MED,TAN / WHITE,PHARAOH HOUND / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516426&location=MONT,
A501305,RETURN,02/22/2024,RIHANNA,DOG,2 YEARS,MED,BLACK / WHITE,AM PIT BULL TER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A501305&location=MONT,
A517759,OWNER SUR,04/06/2024,PEANUT,OTHER,3 YEARS,MED,BROWN / WHITE,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517759&location=MONT,
A516758,OWNER SUR,03/10/2024,SPICY,BIRD,2 YEARS,SMALL,RED,BANTAM,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516758&location=MONT,
A516757,OWNER SUR,03/10/2024,NOODLE,BIRD,2 YEARS,SMALL,BLACK / BROWN,BANTAM,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516757&location=MONT,
A518005,OWNER SUR,04/14/2024,*HOPSCOTCH,OTHER,NO AGE,MED,BLACK,RABBIT SH,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A518005&location=MONT,
A518006,OWNER SUR,04/14/2024,*BREEZE,OTHER,NO AGE,MED,BLACK,RABBIT SH,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A518006&location=MONT,
A518007,OWNER SUR,04/14/2024,*JUMPROPE,OTHER,NO AGE,MED,GRAY,RABBIT SH,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A518007&location=MONT,
A506134,FOSTER,02/02/2024,*SNOOPY,DOG,1 YEAR 10 MONTHS,MED,BLACK / WHITE,AMERICAN STAFF,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A506134&location=MONT,
A516697,OWNER SUR,03/08/2024,CHIEF,DOG,5 YEARS,MED,WHITE / BLACK,AMER BULLDOG / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516697&location=MONT,
A515337,RETURN,03/17/2024,KIKO,CAT,13 YEARS,MED,BLACK / WHITE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A515337&location=MONT,
A517035,OWNER SUR,03/17/2024,FLUFFY,DOG,1 YEAR 6 MONTHS,SMALL,BLACK / TAN,ROTTWEILER / BLACK/TAN HOUND,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517035&location=MONT,
A514726,FOSTER,02/11/2024,ACE,DOG,1 YEAR 3 MONTHS,LARGE,WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A514726&location=MONT,
A517013,OWNER SUR,03/16/2024,JUSTIN B,BIRD,7 MONTHS,MED,BROWN,BANTAM,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517013&location=MONT,
A517012,OWNER SUR,03/16/2024,CORY,BIRD,7 MONTHS,SMALL,RED,BANTAM,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517012&location=MONT,
A445434,FOSTER,03/31/2024,BABY SMOKE,DOG,5 YEARS,SMALL,BROWN / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A445434&location=MONT,
A508984,FOSTER,04/04/2024,LUIGI,DOG,1 YEAR 8 MONTHS,LARGE,BLACK / WHITE,ALASK MALAMUTE,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A508984&location=MONT,
A517790,OWNER SUR,04/07/2024,PEPPER,OTHER,3 YEARS,LARGE,GRAY,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517790&location=MONT,
A517791,OWNER SUR,04/07/2024,CINNAMON,OTHER,3 YEARS,LARGE,BROWN,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517791&location=MONT,
A513682,FOSTER,04/07/2024,*KASE,DOG,3 YEARS,MED,WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A513682&location=MONT,
A517770,OWNER SUR,04/07/2024,*WATER SLIDE,OTHER,NO AGE,MED,GRAY,TURTLE / REDEARED SLIDER,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517770&location=MONT,
A517700,OWNER SUR,04/05/2024,LAYCE,CAT,7 YEARS,MED,BRN TABBY,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517700&location=MONT,
A504734,FOSTER,04/05/2024,SARABI,DOG,6 YEARS,LARGE,WHITE / BROWN,AM PIT BULL TER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A504734&location=MONT,
A517010,FOSTER,04/10/2024,*LIBBY,DOG,3 YEARS,MED,GOLD,BLACK MOUTH CUR / PIT BULL,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517010&location=MONT,
A514757,OWNER SUR,01/13/2024,VIVI,OTHER,5 YEARS,SMALL,BROWN,TURTLE,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A514757&location=MONT,
A441108,OWNER SUR,03/30/2024,GREAT CATSBY,CAT,5 YEARS,MED,BRN TABBY,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A441108&location=MONT,
A517105,OWNER SUR,03/19/2024,TIGER,DOG,3 YEARS,X-LRG,BROWN / BLACK,GERM SHEPHERD,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517105&location=MONT,
A517162,OWNER SUR,03/20/2024,LUCKY,CAT,2 YEARS,MED,BRN TABBY,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517162&location=MONT,
A517170,OWNER SUR,03/21/2024,BOBA,CAT,1 YEAR 7 MONTHS,MED,BLACK / WHITE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517170&location=MONT,
A517984,OWNER SUR,04/13/2024,LUX,OTHER,4 YEARS,LARGE,TRI/BLACK,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517984&location=MONT,
A517983,OWNER SUR,04/13/2024,LEMON,OTHER,4 YEARS,LARGE,BROWN / WHITE,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517983&location=MONT,
A517980,OWNER SUR,04/13/2024,CHUB CHUB,OTHER,2 YEARS,LARGE,TAN,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517980&location=MONT,
A517981,OWNER SUR,04/13/2024,MAUI,OTHER,2 YEARS,LARGE,BLACK,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517981&location=MONT,
A517982,OWNER SUR,04/13/2024,BROWNIE,OTHER,4 YEARS,LARGE,TAN / BLACK,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517982&location=MONT,
A513028,BOARDING,03/26/2024,BOXY,CAT,3 YEARS,MED,ORANGE TAB,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A513028&location=MONT,
A518008,OWNER SUR,04/14/2024,*HONEYBUN,OTHER,NO AGE,MED,GRAY,RABBIT SH,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A518008&location=MONT,
A516231,STRAY,02/24/2024,*MILHOUSE,DOG,5 YEARS,MED,BROWN,LABRADOR RETR / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516231&location=MONT,"10500 DEMOCRACY BLVD, POTOMAC MD 20854"
A517592,STRAY,04/01/2024,*CHERRY,OTHER,10 MONTHS,MED,WHITE,BEARDED DRAGON,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517592&location=MONT,"12000 CHERRY HILL RD, SILVER SPRING MD 20904"
A516230,STRAY,02/24/2024,*BART,DOG,6 YEARS,MED,BROWN,LABRADOR RETR / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516230&location=MONT,"10500 DEMOCRACY BLVD, POTOMAC MD 20854"
A517093,STRAY,03/18/2024,SMITTY,DOG,7 MONTHS,PUPPY,TAN / WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517093&location=MONT,"3100 WHISPERING PINES DR, SILVER SPRING MD 20906"
A515933,STRAY,02/15/2024,*HEIDI,DOG,2 YEARS,MED,GRAY,AM PIT BULL TER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A515933&location=MONT,"0 FEATHERWOOD CT, SILVER SPRING MD 20904"
A516668,STRAY,03/07/2024,*SHAUNEY,DOG,2 YEARS,MED,BROWN / BLACK,GERM SHEPHERD,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516668&location=MONT,"1100 SPRING ST, SILVER SPRING MD 20910"
